school_code,full_school_name,school_name,lvl,School Address,school_address,am_earliest_arr,am_latest_arr,AM Bus Departure,PM Bus Arrival,pm_earliest_dep,pm_latest_dep,home_lat,home_lon
714.0,714 - SHORTRIDGE HIGH SCHOOL,SHORTRIDGE HIGH SCHOOL,HS,3401 N MERIDIAN ST,"3401 North Meridian Street, Indianapolis, IN 46208",8:55 AM,9:15 AM,9:10 AM,3:55 PM,4:00 PM,4:15 PM,39.8181082,-86.1552244
715.0,715 - EMMERICH MANUAL CAMPUS,EMMERICH MANUAL CAMPUS,HS,2405 MADISON AVE,"2405 Madison Ave., Indianapolis, IN 46225",7:00 AM,7:20 AM,7:15 AM,2:10 PM,2:20 PM,2:25 PM,39.7333845,-86.15212369999999
716.0,716 - ARSENAL TECH HIGH SCHOOL/GRADUATION ACADEMY,ARSENAL TECH HIGH SCHOOL AND GRADUATION ACADEMY,HS,1500 E MICHIGAN ST,"1500 East Michigan Street, Indianapolis, IN 46201",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.7761846,-86.13337659999999
718.0,718 - CRISPUS ATTUCKS MAGNET,CRISPUS ATTUCKS MAGNET,HS,1140 DR MARTIN LUTHER KING JR ST,"1140 Dr. Martin Luther King Jr. Street, Indianapolis, IN 46202",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.7829242,-86.169851
721.0,721 - GEORGE WASHINGTON,GEORGE WASHINGTON,HS,2215 W WASHINGTON ST,"2215 West Washington Street, Indianapolis, IN 46222",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.7651095,-86.1991575
952.0,952 - BLIND SCHOOL,BLIND SCHOOL,HS,7725 N COLLEGE AVE,"7725 N College Ave, Indianapolis, IN 46240",7:25 AM,7:45 AM,7:45 AM,2:55 PM,3:00 PM,3:15 PM,39.89353699999999,-86.143404
958.0,958 - DEAF SCHOOL,DEAF SCHOOL,HS,1200 E 42ND ST,"1200 E 42nd St, Indianapolis, IN 46205",7:10 AM,7:30 AM,7:30 AM,3:10 PM,3:15 PM,3:30 PM,39.8346569,-86.1358527
,,THRIVAL INDY,HS,4825 N ARLINGTON AVE,"4825 North Arlington Avenue, Indianapolis, IN 46226",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.8435354,-86.0633154
,,SIMON YOUTH,HS,49 W MARYLAND ST,"49 West Maryland St. Indianapolis, IN 46204",7:40 AM,8:00 AM,,,3:00 PM,3:15 PM,39.76564339999999,-86.159418
,,RIVERSIDE HIGH SCHOOL,HS,3010 N WHITE RIVER PKWY EAST DR,"3010 North White River Parkway East Drive, Indianapolis, IN 46208",8:40 AM,9:00 AM,,,4:00 PM,4:15 PM,39.8099777,-86.1929676
,,HERRON HIGH SCHOOL,HS,110 E 16TH ST,"110 East 16th Street, Indianapolis, IN 46202",8:40 AM,9:00 AM,,,4:00 PM,4:15 PM,39.788792,-86.15530389999999
,,PURDUE POLYTECHNIC DOWNTOWN,HS,,"3005 E Washington Street, Indianapolis, IN 46201",8:25 AM,8:45 AM,,,3:45 PM,4:00 PM,39.7678565,-86.112911
